0 1.8223 1.2485
0.25 1.7464 1.0987
0.5 1.8906 0.99587
0.75 1.9028 0.94365
1 1.9284 0.94582
1.25 1.9294 0.82024
1.5 1.9099 0.75056
1.75 2.1399 0.92581
2 2.1131 0.94197
2.25 2.063 0.92027
2.5 2.0664 0.99848
2.75 2.1201 0.948
3 2.2687 0.93827
3.25 2.1394 1.0783
3.5 2.1907 1.2151
3.75 2.2664 1.2887
4 2.1041 1.4199
4.25 2.127 1.4889
4.5 2.125 1.5513
4.75 2.0771 1.5691
5 2.0422 1.6612
5.25 1.9084 1.8318
5.5 1.8821 1.8017
5.75 1.8978 1.7878
6 1.8647 1.9783
6.25 1.7137 1.9109
6.5 1.6254 1.8617
6.75 1.6007 1.8165
7 1.5284 1.9199
7.25 1.4831 1.8234
7.5 1.4246 1.7725
7.75 1.4074 1.7229
8 1.459 1.6666
8.25 1.3727 1.546
8.5 1.5451 1.5005
8.75 1.4023 1.324
9 1.4257 1.2765
9.25 1.5653 1.2265
9.5 1.591 1.245
9.75 1.5668 1.1515
10 1.5557 1.1257
10.25 1.5837 1.1092
10.5 1.7013 1.0952
10.75 1.8279 0.93976
11 1.8003 1.0542
11.25 1.7671 1.095
11.5 1.9391 1.121
11.75 1.9338 1.1515
12 1.9086 1.1003
12.25 1.9326 1.2044
12.5 1.9302 1.3128
12.75 1.9405 1.4626
13 1.9246 1.4686
13.25 1.8058 1.5326
13.5 1.8917 1.8039
13.75 1.7276 1.7355
14 1.7212 1.9705
14.25 1.632 1.9667
14.5 1.5818 1.9541
14.75 1.4697 2.0554
15 1.5939 2.1277
15.25 1.4538 2.0558
15.5 1.387 2.0302
15.75 1.3475 2.1056
16 1.2644 2.0132
16.25 1.2246 1.9919
16.5 1.3245 2.072
16.75 1.1988 1.8764
17 1.2396 1.9326
17.25 1.2194 1.7481
17.5 1.2488 1.5869
17.75 1.1571 1.5647
18 1.1804 1.4532
18.25 1.2952 1.5446
18.5 1.223 1.3662
18.75 1.3919 1.3244
19 1.3016 1.2179
19.25 1.5027 1.3047
19.5 1.5013 1.1255
19.75 1.4271 1.2609
20 1.6115 1.1882
